ids,questions
59,"Quando a Universidade de São Paulo foi criada?"
1113,"O Centro de Práticas Esportivas da Universidade de São Paulo está vinculado a qual órgão da USP?"
68,"Quais são as escolas do Institut Polytechnique de Paris?"
59,"Há quanto tempo a Universidade de São Paulo existe?"
59,"Quando a USP foi fundada?"
1113,"O CEPEUSP pertence a qual órgão da USP?"
1113,"Quem coordena o CEPEUSP?"
76,"Quem informa a USP sobre as mudanças de valores em contratos de operadoras credenciadas?"
76,"Quem informa a Universidade de São Paulo sobre preços de contratos?"
31,"O conselho de ensino, pesquisa e extensão é composto por quais câmaras?"
31,"Qual é o conselho da USP responsável pela área de pesquisa ensino e extensão?"
31,"Quantas câmaras existem no conselho responsável pela pesquisa e extensão da USP?"
1437,"Quais são as provas e seus respectivos pesos no concurso para Professor Titular na USP?"
1382,"Como deve ser apresentado e qual é o limite de tempo para submeter um recurso em relação às decisões tomadas pelos órgãos colegiados e executivos da Universidade de São Paulo?"
9,"Quais disciplinas e aulas são requisitos obrigatórios para a formação em engenharia civil na Universidade de São Paulo?"
70,"Quais são os requisitos mínimos de conhecimento em inglês e francês para quem deseja se inscrever no curso de engenharia oferecido pela Ecole des Ponts ParisTech?"
608,"Quais são os critérios estabelecidos para determinar a composição dos membros docentes nas Congregações da USP, incluindo a proporção de professores de diferentes níveis acadêmicos?"
1520,"Qual é o processo de eleição para os cargos de Diretor e Vice-Diretor no Museu de Arqueologia e Etnologia da USP, e por quanto tempo eles permanecem em seus cargos?"
1372,"Qual é o limite de tempo para um estudante sem mestrado finalizar o doutorado na Universidade de São Paulo?"
1106,"Quais metas o Museu Paulista busca alcançar em suas atividades institucionais?"
860,"Qual é o limite de tempo que um aluno de pós-graduação tem para fazer o exame de qualificação depois de se matricular na USP?"
25,"Após a Congregação decidir sobre o resultado de um concurso na USP, qual é o intervalo de tempo disponível para apresentar um recurso de nulidade?"
998,"Quais requisitos um estudante de mestrado deve atender para ser elegível à mudança para o doutorado direto na Universidade de São Paulo?"
1394,"Por quanto tempo os estudantes podem servir como representantes discentes em um Conselho Departamental da USP e eles podem ser reeleitos?"
1487,"Quais são as responsabilidades atribuídas à Comissão de Inclusão e Pertencimento da Escola de Engenharia de Lorena (EEL) de acordo com as diretrizes da Universidade de São Paulo?"
904,"Em quais línguas é possível redigir as dissertações de mestrado profissional na Universidade de São Paulo?"
1584,"Quais são as responsabilidades fundamentais do ICMC na Universidade de São Paulo em relação ao ensino, pesquisa e extensão nas áreas de matemática e computação?"
1095,"Como é determinada a participação dos estudantes nas Comissões de Graduação e de Pós-Graduação da USP em termos percentuais, e qual o processo de eleição para os suplentes desses representantes estudantis?"
928,"Quais critérios devem ser seguidos para a submissão de uma Dissertação de Mestrado na Universidade de São Paulo, de acordo com as diretrizes da Escola de Enfermagem?"
859,"Qual é a quantidade de créditos especiais que um aluno da USP pode obter ao publicar um artigo como autor principal em periódicos de Química com classificação Qualis entre A e B2, que esteja associado ao seu projeto de dissertação ou tese?"
1519,"Quais são as entidades que gerenciam o Museu de Arqueologia e Etnologia da USP e qual é a estrutura do seu Conselho Deliberativo?"
52,"Quais são os elementos avaliados no processo de avaliação do memorial para candidatos que buscam a livre-docência na Universidade de São Paulo?"
744,"Quais são os requisitos de créditos em disciplinas e de produções acadêmicas relacionadas ao tema de pesquisa que alunos de Mestrado e Doutorado precisam cumprir antes do exame de qualificação e antes da entrega final de suas dissertações ou teses na USP?"
841,"Quais são os requisitos para que uma disciplina seja aprovada ou mantenha sua aprovação na Universidade de São Paulo, e de que maneira as ementas devem ser formatadas?"
1549,"Como é determinada a formação do corpo docente na Congregação da ESALQ e quais indivíduos têm permissão para participar como convidados sem possuir direito de voto?"
1606,"Como a Congregação da USP deve proceder para realizar suas reuniões se a quantidade necessária de membros não estiver presente na convocação inicial?"
1546,"Quais outras comissões fixas podem ser criadas na USP além das já existentes de Graduação, Pós-Graduação, Pesquisa e Inovação, Cultura e Extensão Universitária, e Inclusão e Pertencimento, e como se dá o processo de aprovação dos seus regulamentos específicos?"
21,"Qual é o processo de nomeação do Reitor na USP em situações onde a universidade carece de independência financeira?"
1410,"Qual órgão da USP tem a autoridade para validar os integrantes das Comissões de Graduação, de Pesquisa e Inovação, e de Cultura e Extensão Universitária, e qual é o procedimento adotado quando há desacordo sobre essas indicações?"
1436,"Quais são os critérios de elegibilidade para os cargos de Coordenador e suplente nas Comissões de Coordenação de Cursos na USP, e de que forma são escolhidos esses membros?"
1149,"Qual órgão da Universidade de São Paulo é encarregado de gerenciar as ações relacionadas a disciplinas que envolvem mais de um departamento?"
