ids,questions
59,"Quando a Universidade de São Paulo foi criada?"
1113,"O Centro de Práticas Esportivas da Universidade de São Paulo está vinculado a qual órgão da USP?"
68,"Quais são as escolas do Institut Polytechnique de Paris?"
59,"Há quanto tempo a Universidade de São Paulo existe?"
59,"Quando a USP foi fundada?"
1113,"O CEPEUSP pertence a qual órgão da USP?"
1113,"Quem coordena o CEPEUSP?"
76,"Quem informa a USP sobre as mudanças de valores em contratos de operadoras credenciadas?"
76,"Quem informa a Universidade de São Paulo sobre preços de contratos?"
31,"O conselho de ensino, pesquisa e extensao é composto por quais câmaras?"
31,"Qual é o conselho da USP responsável pela área de pesquisa ensino e extensão?"
31,"Quantas câmaras existem no conselho responsável pela pesquisa e extensão da USP?"
1437,"Quais são as provas e seus respectivos pesos no concurso para Professor Titular na USP?"
1382,"Qual é o prazo máximo para interpor um recurso contra decisões dos órgãos executivos e colegiados da USP, e como deve ser feito esse recurso?"
9,"Quais são as cadeiras e aulas que fazem parte obrigatoriamente do curso de engenheiros civis na USP?"
70,"Qual o nível de proficiência em francês e inglês exigido para candidatos interessados no programa de engenharia da Ecole des Ponts ParisTech?"
608,"Como é definida a representação docente nas Congregações da Universidade de São Paulo e quais são os critérios específicos para a inclusão de professores de diferentes categorias?"
1520,"Como são escolhidos o Diretor e o Vice-Diretor do MAE na Universidade de São Paulo, e qual é a duração do mandato de cada um?"
1372,"Qual é o prazo máximo estabelecido para a conclusão de um curso de doutorado na USP para um aluno que não possui o título de mestre?"
1106,"Quais são os objetivos institucionais do Museu Paulista?"
860,"Qual é o prazo máximo para um estudante de pós-graduação realizar o exame de qualificação após a inscrição na USP?"
25,"Qual é o prazo para entrar com recurso de nulidade após a deliberação da Congregação sobre o julgamento de um concurso na USP?"
998,"Quais são os critérios necessários para um aluno de mestrado ser transferido para o curso de doutorado direto na USP?"
1394,"Qual é o mandato dos membros da representação discente no Conselho de um Departamento da USP e é permitida a recondução?"
1487,"Quais são as competências da Comissão de Inclusão e Pertencimento da EEL conforme estabelecido em normativas da USP?"
904,"Quais são os idiomas permitidos para a elaboração de dissertações de mestrado profissional na USP?"
1584,"Quais são as principais competências do Instituto de Ciências Matemáticas e de Computação (ICMC) da USP?"
1095,"Qual é a porcentagem de representação discente nas Comissões de Graduação e de Pós-Graduação na USP, e como são eleitos os suplentes desses representantes?"
928,"Quais são os requisitos para a apresentação de uma Dissertação de Mestrado na USP, conforme as normas estabelecidas pela Escola de Enfermagem da USP?"
859,"Quantos créditos especiais um estudante da USP pode receber por publicar um trabalho em revistas indexadas com Qualis de A até B2 na área de Química, sendo o primeiro autor e tendo relação com seu projeto de dissertação ou tese?"
1519,"Quais são os órgãos de administração do Museu de Arqueologia e Etnologia (MAE) da Universidade de São Paulo (USP) e como é composto o Conselho Deliberativo deste museu?"
52,"Quais critérios são considerados no julgamento do memorial de um candidato à livre-docência na USP?"
744,"Quantos créditos em disciplinas cursadas são necessários para estudantes de Mestrado e Doutorado na USP até o exame de qualificação, e quantas produções relativas ao tema em estudo devem ser apresentadas até o depósito da dissertação ou tese, respectivamente?"
841,"Quais são os critérios para o credenciamento ou recredenciamento de disciplinas na USP, e como deve ser apresentada a ementa dessas disciplinas?"
1549,"Quais são os critérios para a composição da representação docente na Congregação da ESALQ, e quem mais pode participar como membro convidado sem direito a voto?"
1606,"Qual é o procedimento estabelecido para a realização de reuniões da Congregação da USP caso não haja quórum legal na primeira convocação?"
1546,"Quais são as comissões permanentes que podem ser instituídas na Universidade de São Paulo além das Comissões de Graduação, de Pós-Graduação, de Pesquisa e Inovação, de Cultura e Extensão Universitária e de Inclusão e Pertencimento, e qual é o procedimento para a aprovação de seus regulamentos próprios?"
21,"Como é escolhido o Reitor da Universidade de São Paulo quando a instituição não possui autonomia econômica?"
1410,"Quem é responsável por aprovar os nomes que compõem as Comissões de Graduação, de Pesquisa e Inovação, e de Cultura e Extensão Universitária na USP, e o que acontece em caso de discordância?"
1436,"Quem pode ser eleito como Coordenador e suplente das Comissões de Coordenação de Cursos (CoCs) na Universidade de São Paulo (USP) e quais são os requisitos para esses membros?"
1149,"Quem é responsável pelas providências de disciplinas interdepartamentais na Universidade de São Paulo?"
1078,"Quais são os critérios para a escolha do Coordenador da COESF na Universidade de São Paulo?"
1556,"Qual é a duração do mandato dos membros docentes da Comissão de Pesquisa (CPq) e da Comissão de Pesquisa e Inovação (CPqI) na USP, e quantas vezes é permitida a recondução?"
598,"Qual é o procedimento para um servidor da USP reassumir o exercício após desistir de uma licença e qual a condição para gozar da parte restante da licença?"
