ids,questions
104,"Quando a Universidade de São Paulo foi criada?"
1671,"O Centro de Práticas Esportivas da Universidade de São Paulo está vinculado a qual órgão da USP?"
119,"Quais são as escolas do Institut Polytechnique de Paris?"
104,"Há quanto tempo a Universidade de São Paulo existe?"
104,"Quando a USP foi fundada?"
1671,"O CEPEUSP pertence a qual órgão da USP?"
1671,"Quem coordena o CEPEUSP?"
132,"Quem informa a USP sobre as mudanças de valores em contratos de operadoras credenciadas?"
132,"Quem informa a Universidade de São Paulo sobre preços de contratos?"
53,"O conselho de ensino, pesquisa e extensao é composto por quais câmaras?"
53,"Qual é o conselho da USP responsável pela área de pesquisa ensino e extensão?"
53,"Quantas câmaras existem no conselho responsável pela pesquisa e extensão da USP?"
2278,"Quais são as provas e seus respectivos pesos no concurso para Professor Titular na USP?"
2172,"Qual é o prazo máximo para interpor um recurso contra decisões dos órgãos executivos e colegiados da USP, e como deve ser feito esse recurso?"
10,"Quais são as cadeiras e aulas que fazem parte obrigatoriamente do curso de engenheiros civis na USP?"
124,"Qual o nível de proficiência em francês e inglês exigido para candidatos interessados no programa de engenharia da Ecole des Ponts ParisTech?"
708,"Como é definida a representação docente nas Congregações da Universidade de São Paulo e quais são os critérios específicos para a inclusão de professores de diferentes categorias?"
2436,"Como são escolhidos o Diretor e o Vice-Diretor do MAE na Universidade de São Paulo, e qual é a duração do mandato de cada um?"
2545,"Qual é o prazo máximo estabelecido para a conclusão de um curso de doutorado na USP para um aluno que não possui o título de mestre?"
1658,"Quais são os objetivos institucionais do Museu Paulista?"
1201,"Qual é o prazo máximo para um estudante de pós-graduação realizar o exame de qualificação após a inscrição na USP?"
41,"Qual é o prazo para entrar com recurso de nulidade após a deliberação da Congregação sobre o julgamento de um concurso na USP?"
1487,"Quais são os critérios necessários para um aluno de mestrado ser transferido para o curso de doutorado direto na USP?"
2198,"Qual é o mandato dos membros da representação discente no Conselho de um Departamento da USP e é permitida a recondução?"
2373,"Quais são as competências da Comissão de Inclusão e Pertencimento da EEL conforme estabelecido em normativas da USP?"
1297,"Quais são os idiomas permitidos para a elaboração de dissertações de mestrado profissional na USP?"
2562,"Quais são as principais competências do Instituto de Ciências Matemáticas e de Computação (ICMC) da USP?"
1637,"Qual é a porcentagem de representação discente nas Comissões de Graduação e de Pós-Graduação na USP, e como são eleitos os suplentes desses representantes?"
1350,"Quais são os requisitos para a apresentação de uma Dissertação de Mestrado na USP, conforme as normas estabelecidas pela Escola de Enfermagem da USP?"
1199,"Quantos créditos especiais um estudante da USP pode receber por publicar um trabalho em revistas indexadas com Qualis de A até B2 na área de Química, sendo o primeiro autor e tendo relação com seu projeto de dissertação ou tese?"
2434,"Quais são os órgãos de administração do Museu de Arqueologia e Etnologia (MAE) da Universidade de São Paulo (USP) e como é composto o Conselho Deliberativo deste museu?"
912,"Quais critérios são considerados no julgamento do memorial de um candidato à livre-docência na USP?"
959,"Quantos créditos em disciplinas cursadas são necessários para estudantes de Mestrado e Doutorado na USP até o exame de qualificação, e quantas produções relativas ao tema em estudo devem ser apresentadas até o depósito da dissertação ou tese, respectivamente?"
1157,"Quais são os critérios para o credenciamento ou recredenciamento de disciplinas na USP, e como deve ser apresentada a ementa dessas disciplinas?"
2492,"Quais são os critérios para a composição da representação docente na Congregação da ESALQ, e quem mais pode participar como membro convidado sem direito a voto?"
2604,"Qual é o procedimento estabelecido para a realização de reuniões da Congregação da USP caso não haja quórum legal na primeira convocação?"
2486,"Quais são as comissões permanentes que podem ser instituídas na Universidade de São Paulo além das Comissões de Graduação, de Pós-Graduação, de Pesquisa e Inovação, de Cultura e Extensão Universitária e de Inclusão e Pertencimento, e qual é o procedimento para a aprovação de seus regulamentos próprios?"
34,"Como é escolhido o Reitor da Universidade de São Paulo quando a instituição não possui autonomia econômica?"
2223,"Quem é responsável por aprovar os nomes que compõem as Comissões de Graduação, de Pesquisa e Inovação, e de Cultura e Extensão Universitária na USP, e o que acontece em caso de discordância?"
2275,"Quem pode ser eleito como Coordenador e suplente das Comissões de Coordenação de Cursos (CoCs) na Universidade de São Paulo (USP) e quais são os requisitos para esses membros?"
1735,"Quem é responsável pelas providências de disciplinas interdepartamentais na Universidade de São Paulo?"
1601,"Quais são os critérios para a escolha do Coordenador da COESF na Universidade de São Paulo?"
2507,"Qual é a duração do mandato dos membros docentes da Comissão de Pesquisa (CPq) e da Comissão de Pesquisa e Inovação (CPqI) na USP, e quantas vezes é permitida a recondução?"
689,"Qual é o procedimento para um servidor da USP reassumir o exercício após desistir de uma licença e qual a condição para gozar da parte restante da licença?"
850,"Qual é o tempo mínimo e máximo de duração para a apresentação no Exame de Proficiência em Inglês na USP, e qual será a consequência se o candidato não cumprir esse tempo?"
2342,"Quais são as responsabilidades da Seção de Materiais na Universidade de São Paulo conforme o regulamento interno?"
1992,"Quais são os critérios de composição da Comissão de Inclusão e Pertencimento (CIP-FEUSP)?"
2120,"Quais são as categorias e os níveis de progressão na carreira docente na Universidade de São Paulo (USP) e como um professor pode ascender de um nível para outro?"
1243,"Quais são os critérios para o credenciamento específico de orientadores no PPGE-USP que não atendem aos requisitos mínimos especificados anteriormente?"
1178,"Quantos créditos especiais são concedidos a um aluno da USP por depósito de patentes ou registro de softwares?"
930,"Quais são os critérios avaliados pela CCP para o credenciamento de uma nova disciplina nos programas de pós-graduação da USP?"
2402,"Quais são as responsabilidades do Diretor da FMVZ em relação à apresentação de relatórios e convocação de eleições conforme o regimento interno?"
1303,"Quais são os critérios para o credenciamento de um orientador pleno no programa de pós-graduação da USP?"
779,"Quais são os critérios necessários para comprovar o pertencimento a um grupo indígena em processos seletivos da USP?"
2009,Qual é a missão da Faculdade de Saúde Pública da Universidade de São Paulo?"
1242,"Como um aluno pode mudar do curso de Mestrado para o de Doutorado Direto na USP?"
1684,"Qual é a carga horária semanal padrão de trabalho para um docente contratado segundo o processo seletivo da USP e em que condições essa carga horária pode ser excepcionalmente reduzida?"
760,"Qual será o destino das vagas não preenchidas pelo Processo seletivo ENEM-USP 2024 para cursos de Graduação na USP?"
489,"Quais são as modalidades de parcerias que a Universidade de São Paulo pode aprovar e firmar, conforme suas normas institucionais?"
945,"Qual é a nota mínima para aprovação na análise do currículo Lattes na primeira fase do Processo Seletivo para o Doutorado Direto em Saúde Global e Sustentabilidade na USP?"
1952,"Qual é o procedimento para os candidatos que desejam apresentar manifestações contrárias à lista de pontos e ao modus faciendi da prova prática em um concurso na Universidade de São Paulo, e como essas manifestações são tratadas pela Comissão Julgadora?"
1920,"Quais são os critérios para a seleção de alunos monitores de graduação e pós-graduação na USP?"
2072,"Quais são os membros que compõem o Conselho Gestor do Campus Capital-Butantã da USP e como são escolhidos?"
2578,"Quais são os deveres dos discentes de acordo com o Regimento do ICMC da USP?"
1674,"Quem assume a Pró-Reitoria de Pesquisa e Inovação da USP na ausência do Pró-Reitor e dos Pró-Reitores Adjuntos, e sob quais critérios essa substituição é feita?"
904,"Quais são os critérios de publicação que um pesquisador deve atender, nos últimos cinco anos, para ser considerado qualificado segundo um determinado regulamento da USP?"
1726,"Quantos membros compõem a Comissão de Inclusão e Pertencimento da USP e como são eleitos esses membros?"
772,"Qual é o procedimento necessário para candidatos autodeclarados negros, de cor preta ou parda, que optam pela ação afirmativa em concursos públicos para provimento de cargo docente na USP?"
2639,"Quais são os membros que compõem o Conselho do Departamento na Universidade de São Paulo conforme o regulamento?"
764,"Quantas vagas serão disponibilizadas para o processo de transferência de cursos de graduação na USP para o 2º semestre de 2024 e o 1º semestre de 2025?"
982,"Quantos créditos especiais são atribuídos a um aluno da USP que realiza o depósito de patentes relacionadas ao projeto de sua dissertação ou tese?"
2254,"Quais são os principais objetivos do Instituto de Geociências da Universidade de São Paulo conforme seu regimento?"
2332,"Qual é a composição da Comissão de Cultura e Extensão Universitária da USP e quais são os critérios para a eleição de seus membros?"
747,"Um aluno pode cursar simultaneamente mais de um curso de graduação na USP?"
820,"Quais são os critérios utilizados para avaliar o desempenho acadêmico e científico dos alunos no programa de pós-graduação em Oncologia da USP?"
1953,"Quais são as comissões da USP que devem reger-se por regimentos próprios aprovados pela Congregação?"
1002,"Quais são os requisitos necessários para a apresentação de um projeto de orientação de pós-graduação na USP, incluindo a necessidade de vínculo institucional do solicitante?"
1364,"Quantos artigos derivados do projeto de pesquisa de doutorado devem ser incluídos na tese na forma de coletânea de artigos na USP, e quais são os requisitos de publicação desses artigos?"
818,"Quais são os critérios de avaliação para alunos durante exames de qualificação em programas de pós-graduação em Oncologia na USP?"
21,"Quais são os requisitos necessários para um candidato se inscrever em um concurso para professor catedrático na USP?"
1715,"Qual é o objetivo do Centro Observatório das Instituições Brasileiras (COI) criado pela Universidade de São Paulo?"
2259,"Quais são as etapas do concurso para Professor Doutor na USP e qual o peso de cada uma delas?"
1683,"Quais são os requisitos necessários para a contratação de docentes por prazo determinado na Universidade de São Paulo conforme estabelecido pela resolução citada?"
787,"Quais critérios são utilizados para avaliar os projetos de pesquisa dos candidatos no processo seletivo de pós-graduação do Departamento de Letras Modernas da USP?"
2290,"Quais são os órgãos que compõem a administração central da Faculdade na USP, conforme descrito no regulamento?"
940,"Quantos créditos especiais um aluno da USP pode receber por participar do Programa de Aperfeiçoamento do Ensino (PAE) durante seu período de matrícula regular?"
2068,"Quais são os órgãos responsáveis pela administração do Campus Área Capital-Leste da Universidade de São Paulo?"
1667,"Quais são os critérios para a composição da Comissão de Graduação na USP e como são eleitos seu Presidente e Vice-Presidente?"
1318,"Como são tomadas as deliberações pela Comissão de Pós-Graduação (CPG) e qual é o papel do Presidente em casos de urgência?"
751,"Como são classificados os candidatos para as vagas destinadas às Políticas de Ações Afirmativas na USP após o preenchimento das vagas de Ampla Concorrência?"
812,"Quais são as responsabilidades da Comissão de Legislação e Recursos (CLR) da USP em relação à gestão de cargos e funções docentes?"
2603,"Quais são os órgãos que exercem a Administração Geral do Instituto de Química da USP, conforme seu regimento?"
684,"Quais são as condições sob as quais um servidor da USP pode ser obrigado a restituir a ajuda de custo recebida?"
2183,"Quem é responsável pela escolha do Diretor e do Vice-Diretor na Universidade de São Paulo, e com base em que documento essa escolha é feita?"
1135,"Quais critérios são utilizados para avaliar o projeto de pesquisa de um candidato no processo seletivo de um programa de pós-graduação na USP?"
2171,"Como é o processo de eleição do representante dos antigos alunos para o Conselho da USP e quem pode votar e ser votado?"
1707,"Qual é o limite máximo de horas semanais que um voluntário pode dedicar ao serviço na USP e quais condições devem ser observadas em relação ao horário de expediente?"
368,"Quais são os órgãos criados pela USP para auxiliar na aplicação da Lei Geral de Proteção de Dados Pessoais (LGPD) e na regulamentação da atividade do Encarregado pela Proteção de Dados Pessoais?""
2297,"Quais são os critérios de avaliação para a seleção de monitores na USP conforme o regulamento?"
2321,"Quais são os critérios utilizados pela comissão julgadora para avaliar o projeto de pesquisa no concurso de Professor Doutor na USP?"
1514,"Quais são as condições para que o exame de proficiência em idiomas seja dispensado para candidatos a programas de pós-graduação na USP?"
736,"Quais são os critérios para um candidato ser elegível às vagas destinadas às Políticas de Ações Afirmativas na USP, especificamente para as categorias Escola Pública (EP) e Pretos, Pardos e Indígenas (PPI)?"
817,"Quais são os critérios de avaliação de um aluno durante o exame de qualificação em Oncologia na USP?"
1804,"Quais são as competências do chefe do Departamento na Universidade de São Paulo conforme o regimento interno?"
